index,input,match,non_exact,street,coordinate,tiger,lr
"18573","102  PINE AVE  BESSEMER, Jefferson County, AL, 350232087","Match","Non_Exact","102 PINE AVE, BESSEMER, AL, 35023","-87.00531087599995,33.45040941100007","633006194","R"
"17243","472  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","472 CREST DR, FAIRFIELD, AL, 35064","-86.92638173599994,33.46591024400004","81556046","R"
"18574","301  FLORENCE ST  HUEYTOWN, Jefferson County, AL, 350231912","Match","Non_Exact","301 FLORENCE ST, BESSEMER, AL, 35023","-87.01188082699997,33.44995668100006","81632830","L"
"18570","103  LOUIS AVE  BESSEMER, Jefferson County, AL, 350232104","Match","Non_Exact","103 LOUIS AVE, BESSEMER, AL, 35023","-87.00590218399998,33.45450844100003","81698097","R"
"17248","408  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","408 CREST DR, FAIRFIELD, AL, 35064","-86.92418765099995,33.46690740200006","81556041","R"
"18579","404  TERRY ST  HUEYTOWN, Jefferson County, AL, 350232053","Match","Non_Exact","404 TERRY ST, BESSEMER, AL, 35023","-87.00804823799996,33.44507777100006","640553465","L"
"17249","404  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","404 CREST DR, FAIRFIELD, AL, 35064","-86.92406144699999,33.466803697000046","81556041","R"
"17255","318  HILLVIEW DR  FAIRFIELD, Jefferson County, AL, 350641734","Match","Non_Exact","318 HILLVIEW DR, FAIRFIELD, AL, 35064","-86.92379135099998,33.46647737100005","81556175","L"
"18586","212  FLORENCE ST  BESSEMER, Jefferson County, AL, 350231911","Match","Non_Exact","212 FLORENCE ST, BESSEMER, AL, 35023","-87.01155142599998,33.45122972300004","647658658","R"
"17256","7516  LINDA LN  FAIRFIELD, Jefferson County, AL, 350642425","Match","Non_Exact","7516 LINDA LN, FAIRFIELD, AL, 35064","-86.92291812199994,33.46475534500007","81556183","R"
"18587","100  BEECHWOOD AVE  BESSEMER, Jefferson County, AL, 350232035","Match","Non_Exact","100 BEECHWOOD AVE, BESSEMER, AL, 35023","-87.00703166099998,33.44758425900005","81634458","L"
"17257","7512  LINDA LN  FAIRFIELD, Jefferson County, AL, 350642425","Match","Non_Exact","7512 LINDA LN, FAIRFIELD, AL, 35064","-86.92284728599998,33.46470192700008","81556183","R"
"18588","122  PINE AVE  HUEYTOWN, Jefferson County, AL, 350232000","Match","Non_Exact","122 PINE AVE, BESSEMER, AL, 35023","-87.00533438299999,33.44852893800004","81712445","R"
"17258","320  CLAXTON WAY  FAIRFIELD, Jefferson County, AL, 350642401","Match","Non_Exact","320 CLAXTON WAY, FAIRFIELD, AL, 35064","-86.91895983299997,33.46364015200004","81556223","L"
"18589","114  PINE AVE  HUEYTOWN, Jefferson County, AL, 350232000","Match","Non_Exact","114 PINE AVE, BESSEMER, AL, 35023","-87.00532619499995,33.44904189600004","81712445","R"
"17251","304  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641742","Match","Non_Exact","304 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92360497499999,33.46793487800005","81660874","L"
"18582","152  PINE AVE  BESSEMER, Jefferson County, AL, 350232012","Tie"
"17252","244  FLINT DR  FAIRFIELD, Jefferson County, AL, 350641717","Match","Non_Exact","244 FLINT DR, FAIRFIELD, AL, 35064","-86.92248994699997,33.469075935000035","81556176","L"
"18583","172  FOUST AVE  HUEYTOWN, Jefferson County, AL, 350232067","Match","Non_Exact","172 FOUST AVE, BESSEMER, AL, 35023","-87.00651153199999,33.44756554800006","81634466","R"
"17253","225  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641741","Match","Non_Exact","225 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92349327299996,33.46787418900004","81660874","R"
"18584","201 S BEECHWOOD DR  BESSEMER, Jefferson County, AL, 350232018","No_Match"
"17254","204  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641740","Match","Non_Exact","204 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92347144699994,33.46784882500003","81660874","L"
"18585","508  COTTONDALE DR  HUEYTOWN, Jefferson County, AL, 350231903","No_Match"
"18580","395  OLIVER RD  BESSEMER, Jefferson County, AL, 35023","No_Match"
"17250","301  HILLVIEW DR  FAIRFIELD, Jefferson County, AL, 350641735","Match","Non_Exact","301 HILLVIEW DR, FAIRFIELD, AL, 35064","-86.92290612699998,33.46749452300003","81556177","R"
"18581","403  TERRY ST  HUEYTOWN, Jefferson County, AL, 350232052","Match","Non_Exact","403 TERRY ST, BESSEMER, AL, 35023","-87.00719449799999,33.44508143000007","640553465","R"
"17259","413  CREST DR  FAIRFIELD, Jefferson County, AL, 350641716","Match","Non_Exact","413 CREST DR, FAIRFIELD, AL, 35064","-86.92420717699997,33.46690805600008","81556041","L"
"17222","6802  CHEROKEE DR  FAIRFIELD, Jefferson County, AL, 350641710","Match","Non_Exact","6802 CHEROKEE DR, FAIRFIELD, AL, 35064","-86.92683550799995,33.464764167000055","81556044","R"
"18553","7370  FRANKLIN DR  BESSEMER, Jefferson County, AL, 350235557","Match","Non_Exact","7370 FRANKLIN DR, BESSEMER, AL, 35023","-87.07918584099997,33.485779483000044","81543366","R"
"17223","6804  CHEROKEE DR  FAIRFIELD, Jefferson County, AL, 350641710","Match","Non_Exact","6804 CHEROKEE DR, FAIRFIELD, AL, 35064","-86.92682776899994,33.46475006800006","81556044","R"
"18554","7414  FRANKLIN DR  BESSEMER, Jefferson County, AL, 350235558","Match","Non_Exact","7414 FRANKLIN DR, BESSEMER, AL, 35023","-87.07786257099997,33.48577035400007","81543366","R"
"17224","509  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641746","Match","Non_Exact","509 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92728455699995,33.46658236700006","81556039","R"
"18555","854  HILLVIEW DR  BESSEMER, Jefferson County, AL, 350238037","Match","Non_Exact","854 HILLVIEW DR, BESSEMER, AL, 35023","-87.07664501699998,33.483778425000025","81715961","L"
"17225","504  CHEROKEE CIR  FAIRFIELD, Jefferson County, AL, 350641701","Match","Non_Exact","504 CHEROKEE CIR, FAIRFIELD, AL, 35064","-86.92776060999995,33.46741938500003","81556034","L"
"18556","7049  WARRIOR RIVER RD  BESSEMER, Jefferson County, AL, 350237060","Match","Non_Exact","7049 WARRIOR RIVER RD, BESSEMER, AL, 35023","-87.07654844499996,33.481335245000025","81543524","L"
"18550","7127  GLASS DR  BESSEMER, Jefferson County, AL, 350235559","Match","Non_Exact","7127 GLASS DR, BESSEMER, AL, 35023","-87.07819670199996,33.486626726000054","81543368","R"
"17220","1505  CAMBRIDGE BLVD  FAIRFIELD, Jefferson County, AL, 350642840","Match","Non_Exact","1505 CAMBRIDGE BLVD, FAIRFIELD, AL, 35064","-86.93281217899994,33.46711179600004","81660848","L"
"18551","7265  GLASS DR  HUEYTOWN, Jefferson County, AL, 350235560","Match","Non_Exact","7265 GLASS DR, BESSEMER, AL, 35023","-87.08016638999999,33.48747387700007","81543368","R"
"17221","1501  CAMBRIDGE BLVD  FAIRFIELD, Jefferson County, AL, 350642840","Match","Non_Exact","1501 CAMBRIDGE BLVD, FAIRFIELD, AL, 35064","-86.93284609399996,33.466617160000055","81660849","L"
"18552","7164  GLASS DR  BESSEMER, Jefferson County, AL, 350235559","Match","Non_Exact","7164 GLASS DR, BESSEMER, AL, 35023","-87.07870107099995,33.486956289000034","81543368","L"
"17226","6524  CHEROKEE DR  FAIRFIELD, Jefferson County, AL, 350641703","Match","Non_Exact","6524 CHEROKEE DR, FAIRFIELD, AL, 35064","-86.92826930099994,33.468359236000026","81556025","R"
"18557","7130  OAK DR  BESSEMER, Jefferson County, AL, 350235561","Match","Non_Exact","7130 OAK DR, BESSEMER, AL, 35023","-87.07736891199994,33.48423614200004","81543482","L"
"17227","6508  CHEROKEE DR  FAIRFIELD, Jefferson County, AL, 350641703","Match","Non_Exact","6508 CHEROKEE DR, FAIRFIELD, AL, 35064","-86.92833064499996,33.46851022100003","81556025","R"
"18558","901  HILL VIEW DR  BESSEMER, Jefferson County, AL, 35023","Match","Non_Exact","901 HILLVIEW DR, BESSEMER, AL, 35023","-87.07666762599996,33.48325614500004","81715961","R"
"17228","6513  CHEROKEE DR  FAIRFIELD, Jefferson County, AL, 350641704","Match","Non_Exact","6513 CHEROKEE DR, FAIRFIELD, AL, 35064","-86.92848190099994,33.469333353000025","81556025","L"
"18559","751  MCCLAIN RD  BESSEMER, Jefferson County, AL, 35023","Match","Non_Exact","751 MCCLAIN RD, BESSEMER, AL, 35023","-87.07045692199995,33.48729670200004","81615153","L"
"17229","6529  CHEROKEE DR  FAIRFIELD, Jefferson County, AL, 350641704","Match","Non_Exact","6529 CHEROKEE DR, FAIRFIELD, AL, 35064","-86.92842312899995,33.46901572000007","81556025","L"
"17233","6617  SEMINOLE DR  FAIRFIELD, Jefferson County, AL, 350641131","Match","Non_Exact","6617 SEMINOLE DR, FAIRFIELD, AL, 35064","-86.92657820899996,33.471540841000035","81555966","L"
"18564","1440  14TH ST  PLEASANT GROVE, Jefferson County, AL, 35127","Match","Non_Exact","1440 14TH ST, PLEASANT GROVE, AL, 35127","-87.00340225099995,33.47506892800004","646696541","R"
